ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV_19957,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10
ASV_19958,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA
ASV_19959,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,NA
ASV_1996,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
ASV_19960,Bacteria,Zixibacteria,NA,NA,NA,NA
ASV_19961,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula
ASV_19962,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA
ASV_19963,Bacteria,Zixibacteria,NA,NA,NA,NA
ASV_19964,Bacteria,Planctomycetota,OM190,NA,NA,NA
ASV_19965,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_19966,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula
ASV_19967,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA
ASV_19968,Bacteria,NB1-j,NA,NA,NA,NA
ASV_19969,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,NA
ASV_1997,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,DEV008
ASV_19970,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiogranum
ASV_19971,Bacteria,Patescibacteria,Microgenomatia,Candidatus Woesebacteria,NA,NA
ASV_19972,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA
ASV_19973,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,NA
ASV_19974,Bacteria,Zixibacteria,NA,NA,NA,NA
ASV_19975,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,B1-7BS,NA
ASV_19976,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
ASV_19977,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA
ASV_19978,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
ASV_19979,Bacteria,Planctomycetota,BD7-11,NA,NA,NA
ASV_1998,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA
ASV_19980,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,NA
ASV_19981,Bacteria,Nitrospirota,Thermodesulfovibrionia,NA,NA,NA
ASV_19982,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula
ASV_19983,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA
ASV_19984,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta
ASV_19985,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
