ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV_4589,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
ASV_459,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma
ASV_4590,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma
ASV_4591,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
ASV_4592,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax
ASV_4593,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA
ASV_4594,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_4595,Bacteria,Planctomycetota,OM190,NA,NA,NA
ASV_4596,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
ASV_4597,Eukaryota,NA,NA,NA,NA,NA
ASV_4598,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_4599,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula
ASV_460,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,NA
ASV_4600,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Alsobacter
ASV_4601,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula
ASV_4602,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula
ASV_4603,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
ASV_4604,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudorhodoplanes
ASV_4605,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
ASV_4606,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
ASV_4607,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA
ASV_4609,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_4610,Eukaryota,NA,NA,NA,NA,NA
ASV_4611,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_4612,Bacteria,Elusimicrobiota,Lineage IIb,NA,NA,NA
ASV_4613,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
ASV_4614,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA
ASV_4616,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera
ASV_4617,Eukaryota,NA,NA,NA,NA,NA
ASV_4618,Bacteria,Zixibacteria,NA,NA,NA,NA
ASV_4619,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,NA,NA
ASV_462,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema CCAP 1459-11B
ASV_4620,Eukaryota,NA,NA,NA,NA,NA
ASV_4621,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA
ASV_4622,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,NA,NA
ASV_4623,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
ASV_4624,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Persicitalea
ASV_4626,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_4627,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema CCAP 1459-11B
ASV_4628,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema CCAP 1459-11B
ASV_4629,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Annamia HOs24
ASV_463,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera
ASV_4630,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV_4631,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_4632,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,NA
ASV_4633,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,NA
ASV_4634,Eukaryota,NA,NA,NA,NA,NA
ASV_4635,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA
ASV_4636,Eukaryota,NA,NA,NA,NA,NA
ASV_4637,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,NA
ASV_4638,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA
ASV_4639,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA
ASV_464,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Scytonema UTEX 2349
ASV_4640,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_4641,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_4642,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_4643,Eukaryota,NA,NA,NA,NA,NA
ASV_4644,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14
ASV_4645,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA
ASV_4646,Eukaryota,NA,NA,NA,NA,NA
ASV_4648,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
ASV_465,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera
ASV_4651,Bacteria,NA,NA,NA,NA,NA
ASV_4652,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Scytonema UTEX 2349
ASV_4653,Eukaryota,NA,NA,NA,NA,NA
ASV_4654,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Siphonobacter
ASV_4655,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA
ASV_4657,Eukaryota,NA,NA,NA,NA,NA
ASV_4658,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA
ASV_4659,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,Desulfomonile
ASV_4660,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,NA
ASV_4661,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_4662,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Pleurocapsa PCC-7319
ASV_4663,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,NA
ASV_4664,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
ASV_4665,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula
ASV_4666,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
ASV_4667,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage
ASV_4668,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207
ASV_4669,Bacteria,Cyanobacteria,Sericytochromatia,NA,NA,NA
ASV_467,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas
ASV_4671,Bacteria,Planctomycetota,OM190,NA,NA,NA
